label,count,assigned_topics
fireworks banging,1050,[1]
tap dancing,1050,[4]
"motorboat, speedboat acceleration",1050,[3]
playing trombone,1050,[1]
playing drum kit,1050,"[2, 3]"
driving buses,1050,[3]
"race car, auto racing",1050,[1]
male singing,1050,[3]
playing bass guitar,1050,[3]
"playing violin, fiddle",1050,[3]
toilet flushing,1050,[0]
driving motorcycle,1050,[3]
playing accordion,1050,[3]
playing didgeridoo,1050,[0]
playing electric guitar,1050,[3]
people booing,1050,[2]
orchestra,1050,[0]
playing acoustic guitar,1050,[3]
police car (siren),1050,[2]
playing cello,1050,[0]
"railroad car, train wagon",1050,[1]
"engine accelerating, revving, vroom",1050,[0]
playing flute,1050,"[2, 3]"
"child speech, kid speaking",1050,[1]
chainsawing trees,1050,[2]
ambulance siren,1050,[4]
female singing,1050,[4]
"playing marimba, xylophone",1050,[3]
"vehicle horn, car horn, honking",1050,[2]
playing cymbal,1050,[3]
"pigeon, dove cooing",1050,[0]
"female speech, woman speaking",1050,[1]
basketball bounce,1050,[0]
playing banjo,1050,[3]
"bird chirping, tweeting",1050,[2]
helicopter,1050,[4]
people crowd,1050,[2]
singing bowl,1050,[4]
"male speech, man speaking",1050,[1]
playing bassoon,1050,[3]
playing piano,1050,[3]
chicken crowing,1050,[4]
playing saxophone,1050,[0]
"rowboat, canoe, kayak rowing",1050,[2]
playing harp,1050,[1]
people burping,1049,"[2, 3]"
playing clarinet,1049,[3]
playing hammond organ,1049,[3]
playing table tennis,1049,[0]
playing squash,1049,[3]
playing tabla,1048,[3]
playing glockenspiel,1046,[0]
playing harpsichord,1022,[0]
frog croaking,1018,[1]
vacuum cleaner cleaning floors,1009,[4]
playing theremin,1007,[1]
slot machine,1000,[4]
playing badminton,1000,[1]
"subway, metro, underground",1000,[4]
beat boxing,998,[0]
child singing,994,[3]
crow cawing,993,[0]
playing volleyball,991,[0]
car engine knocking,990,[0]
playing snare drum,987,"[2, 3]"
machine gun shooting,986,[1]
ocean burbling,983,[3]
skiing,980,[3]
civil defense siren,979,[4]
missile launch,974,[2]
playing erhu,971,[1]
tractor digging,970,[4]
bowling impact,969,[3]
rope skipping,967,[1]
airplane flyby,964,[2]
lions roaring,964,[4]
scuba diving,963,[4]
yodelling,961,[3]
playing bagpipes,960,[0]
police radio chatter,958,[2]
fire truck siren,958,[1]
pheasant crowing,937,[4]
arc welding,934,[2]
dog howling,929,[2]
"playing steel guitar, slide guitar",929,[3]
wind noise,922,[1]
playing bongo,920,[3]
skateboarding,914,[0]
playing synthesizer,909,[3]
"electric shaver, electric razor shaving",908,[4]
playing ukulele,907,"[2, 3]"
skidding,906,[3]
cap gun shooting,904,[1]
people clapping,903,[0]
playing cornet,893,[3]
people sniggering,891,"[2, 4]"
playing vibraphone,885,[3]
mynah bird singing,884,[2]
people whistling,883,[2]
horse clip-clop,882,[3]
printer printing,881,[1]
baby laughter,881,[0]
playing french horn,865,[3]
playing bass drum,863,"[2, 3]"
cat purring,861,[0]
playing sitar,860,[0]
lathe spinning,859,[0]
lawn mowing,858,[0]
lighting firecrackers,854,[3]
volcano explosion,842,[4]
playing electronic organ,839,[0]
playing trumpet,835,[3]
dog growling,826,"[2, 4]"
playing harmonica,824,[1]
playing mandolin,824,[0]
people marching,817,[2]
planing timber,816,[4]
playing tambourine,811,[0]
playing double bass,810,[3]
church bell ringing,807,[1]
gibbon howling,792,[3]
goose honking,788,[0]
tapping guitar,780,"[1, 3]"
sharpen knife,776,[2]
train horning,771,[4]
dog barking,767,[0]
singing choir,762,[2]
"heart sounds, heartbeat",756,[3]
owl hooting,753,[0]
people whispering,747,[2]
woodpecker pecking tree,745,[1]
typing on typewriter,745,[3]
cattle mooing,735,[0]
people screaming,731,[2]
hail,718,[4]
canary calling,717,[4]
people cheering,704,[2]
cricket chirping,702,[1]
stream burbling,690,[4]
people sneezing,688,"[2, 4]"
wood thrush calling,681,"[2, 4]"
roller coaster running,678,[2]
"ice cream truck, ice cream van",676,[1]
people shuffling,675,[0]
baby crying,667,[0]
mouse clicking,660,[1]
francolin calling,651,[4]
turkey gobbling,646,[3]
"cattle, bovinae cowbell",644,[4]
rapping,638,[2]
dinosaurs bellowing,633,[2]
playing timpani,629,[3]
dog bow-wow,628,[0]
using sewing machines,626,[1]
chicken clucking,625,[4]
splashing water,618,[2]
hammering nails,613,[0]
train whistling,608,[3]
driving snowmobile,603,[0]
duck quacking,602,[3]
lions growling,599,[4]
baby babbling,598,[0]
car passing by,595,[1]
parrot talking,593,[1]
sailing,592,[3]
cat meowing,588,[4]
people babbling,587,[0]
sliding door,587,[4]
playing timbales,587,[0]
horse neighing,587,[3]
swimming,566,[2]
wind rustling leaves,563,[1]
people slurping,562,[2]
typing on computer keyboard,561,[3]
people eating noodle,560,[2]
ripping paper,560,[3]
elk bugling,557,[4]
playing gong,557,[1]
playing darts,555,[3]
people farting,554,[2]
"bee, wasp, etc. buzzing",551,[0]
playing oboe,546,[0]
playing zither,538,[0]
eating with cutlery,528,"[0, 2]"
bouncing on trampoline,526,[0]
people belly laughing,517,[2]
sheep bleating,515,[1]
waterfall burbling,514,[0]
airplane,506,[2]
playing steelpan,504,[3]
fire crackling,492,[0]
car engine starting,491,[0]
coyote howling,490,[2]
reversing beeps,487,[2]
people sobbing,481,[2]
playing guiro,477,[3]
chimpanzee pant-hooting,473,[2]
raining,473,[1]
playing congas,465,[3]
playing tympani,463,[3]
dog whimpering,461,[2]
opening or closing car doors,459,[2]
opening or closing drawers,458,[2]
people coughing,453,[0]
black capped chickadee calling,446,"[1, 4]"
pig oinking,444,[0]
playing bugle,442,[1]
people eating crisps,442,"[2, 4]"
"donkey, ass braying",438,[4]
mosquito buzzing,438,[2]
squishing water,435,[2]
playing djembe,430,[3]
mouse pattering,430,[0]
magpie calling,429,"[3, 4]"
electric grinder grinding,425,[4]
people running,422,[2]
barn swallow calling,420,"[0, 4]"
underwater bubbling,420,[4]
firing muskets,417,[1]
dog baying,412,[2]
cheetah chirrup,403,[0]
playing hockey,402,[0]
striking pool,401,[1]
people hiccup,394,[0]
people humming,391,[2]
playing tennis,390,[3]
wind chime,389,[1]
cat growling,387,[4]
car engine idling,370,"[0, 3]"
ice cracking,365,[0]
otter growling,363,[4]
fox barking,361,[3]
"alligators, crocodiles hissing",361,[3]
people eating apple,360,[2]
tornado roaring,356,[1]
bird squawking,348,[2]
hair dryer drying,343,[4]
firing cannon,336,[4]
train wheels squealing,333,[4]
alarm clock ringing,331,[1]
cupboard opening or closing,330,"[0, 2]"
striking bowling,326,[1]
thunder,325,[1]
bull bellowing,320,[1]
cat hissing,320,"[3, 4]"
penguins braying,318,[2]
running electric fan,318,[2]
elephant trumpeting,310,[4]
golf driving,303,[3]
people battle cry,291,[2]
extending ladders,291,[0]
snake hissing,285,[3]
playing lacrosse,282,[0]
writing on blackboard with chalk,280,[4]
spraying water,278,[1]
sloshing water,276,[1]
people giggling,273,[2]
cutting hair with electric trimmers,268,[4]
lip smacking,265,[0]
forging swords,264,[3]
plastic bottle crushing,264,[4]
warbler chirping,264,[4]
chipmunk chirping,261,[4]
bird wings flapping,258,[4]
chopping wood,254,[4]
popping popcorn,253,[3]
eagle screaming,252,[2]
hedge trimmer running,251,[2]
footsteps on snow,251,[1]
sea waves,250,[3]
blowtorch igniting,250,[3]
goat bleating,246,[1]
air conditioning noise,245,[1]
mouse squeaking,240,[1]
ferret dooking,239,[3]
cat caterwauling,237,[0]
strike lighter,229,[0]
people nose blowing,228,[0]
people eating,226,[2]
shot football,226,[1]
smoke detector beeping,221,[4]
people gargling,221,[0]
cuckoo bird calling,218,[4]
foghorn,217,[4]
eletric blender running,214,[0]
chinchilla barking,213,[0]
people slapping,211,"[1, 2]"
sea lion barking,211,[0]
opening or closing car electric windows,205,[2]
children shouting,201,[0]
bathroom ventilation fan running,200,[2]
baltimore oriole calling,200,[4]
playing shofar,200,[3]
telephone bell ringing,200,[1]
"fly, housefly buzzing",200,[0]
metronome,200,[4]
disc scratching,200,[0]
whale calling,200,[4]
cell phone buzzing,200,[2]
chopping food,200,[2]
playing washboard,200,[3]
people finger snapping,200,[0]
playing tuning fork,200,[0]
door slamming,200,[0]
pumping water,199,[2]
snake rattling,199,[3]
zebra braying,199,[2]
playing castanets,199,[1]
cow lowing,199,[1]
air horn,197,[2]
