video_clip_name,timestamp,class,group_name
cwzG9KvA--Y,6,air conditioning noise,train
VSHm9Am8usc,17,air conditioning noise,train
1WO1tg3-cD0,45,air conditioning noise,train
IIRg_apJQpQ,226,air conditioning noise,train
ifqgtqeTf-M,5,air conditioning noise,train
yfcWXnkPkfA,25,air conditioning noise,train
Ges-_tfTMec,21,air conditioning noise,train
AhmHEsTXpAI,85,air conditioning noise,train
1yxij2nsbZw,0,air conditioning noise,train
qC9C5ejBrzg,126,air conditioning noise,train
tf3-R3CuQUA,33,air conditioning noise,train
1Mss9uTB_M4,16,air conditioning noise,train
nL4qpf0XGTc,3,air conditioning noise,train
B4lB1TLeOxg,1,air conditioning noise,train
VgGdOFYfBU4,135,air conditioning noise,train
VgGdOFYfBU4,69,air conditioning noise,train
eoepN2RDZqE,8,air conditioning noise,train
0PS64HJzawM,244,air conditioning noise,train